#Word,polarity
thin-skinned,-0.125
shrieking,0.0625
dustiness,-0.125
frangibleness,-0.625
guesswork,-0.125
penetratively,0.125
cristobal_balenciaga,0.25
cuspidal,0.125
accretionary,-0.375
auxiliary_storage,-0.375
fray,-0.16666666666666666
private_foundation,-0.625
hypoglycemic,-0.125
mirrorlike,0.625
permission,0.0625
gaseous,-0.25
foggy,-0.34375
goddamn,-0.08333333333333333
obsessiveness,0.25
acarpous,-0.375
heartbreaking,-0.75
meticulous,0.5
etiolate,-0.125
haemulidae,0.375
deficiency,-0.0625
derivative,-0.05
upheaval,-0.15625
chelonethida,-0.5
eye_opener,-0.0625
peronosporaceae,0.625
magniloquent,0.125
mousey,-0.125
nefarious,-0.556
dracunculidae,0.25
native_beech,-0.125
liquidity,0.041666666666666664
whoreson,-0.375
saboteur,-0.25
niche,0.0625
awestricken,0.25
candescent,0.125
mahuang,0.25
redeem,-0.041666666666666664
armored,-0.041666666666666664
star_grass,0.0625
obduracy,-0.125
crack,-0.010416666666666666
rascally,-0.125
surprise,-0.020833333333333332
feverous,-0.5
get_around,-0.1875
livistona_australis,0.125
soybean,0.125
genus_liriope,-0.125
expressway,0.375
paternalistic,0.375
stonewaller,-0.25
tongue_twister,-0.5
common_good,0.5
extend_oneself,-0.25
salvific,0.125
nemertina,0.375
craps,0.3125
livable,0.625
dirndl,-0.1875
scalar,0.041666666666666664
pancreatitis,-0.75
mesne_lord,0.125
pseudobulb,-0.625
actual_sin,0.5
motortruck,0.25
able-bodiedism,0.125
familiar,0.16071428571428573
borderline_intelligence,0.125
accordance_of_rights,0.125
bereft,-0.6875
overt,-0.125
pretentiousness,0.0625
lung-power,0.125
interfering,-0.75
three-lobed,0.0625
gustatory_modality,0.375
scoffer,-0.1875
lymphopathia_venereum,-0.25
waste,-0.0234375
plexus_mesentericus,-0.25
mischievousness,-0.20833333333333334
wise,0.16071428571428573
identity_matrix,-0.125
noumenon,0.25
nephroptosis,-0.125
heath_hen,-0.0625
polyuria,-0.5
